#
#   Generated by:                 scale_to_maxdiff.pl
#   Scaled Pairs File:            Examples/RandomScaled-1a.txt
#   MaxDiff Questions File:       Training/Phase2Questions/Phase2Questions-1a.txt
#   MaxDiff Answers File:         Examples/RandomMaxDiff-1a.txt
#   Number of Unique Pairs:       41
#   Number of MaxDiff Questions:  103
#
#   relation1 relation2 relation3 relation4 least_illustrative most_illustrative
#
"art:abstract" "bread:wheat" "pet:dog" "dog:pet" "art:abstract" "pet:dog"
"furniture:chair" "tree:oak" "currency:dollar" "couch:furniture" "tree:oak" "furniture:chair"
"bird:robin" "fruit:grape" "insect:ant" "animal:pig" "bird:robin" "animal:pig"
"hair:brown" "tree:ash" "bush:azalea" "bush:astilbe" "tree:ash" "bush:astilbe"
"vegetable:carrot" "dollar:currency" "appliance:refrigerator" "color:red" "color:red" "appliance:refrigerator"
"dog:poodle" "footwear:boot" "oak:tree" "furniture:couch" "dog:poodle" "footwear:boot"
"mammal:porpoise" "weapon:spear" "animal:carabao" "dog:chihuahua" "mammal:porpoise" "weapon:spear"
"school:university" "clothing:shirt" "car:mustang" "sweater:knit" "clothing:shirt" "sweater:knit"
"automobile:van" "wheat:bread" "weather:rain" "politician:senator" "wheat:bread" "weather:rain"
"song:opera" "bird:swan" "jewelry:ring" "pen:ballpoint" "song:opera" "pen:ballpoint"
"rodent:mouse" "tree:oak" "clothing:shirt" "sweater:knit" "clothing:shirt" "sweater:knit"
"weapon:spear" "song:opera" "car:mustang" "dog:chihuahua" "song:opera" "weapon:spear"
"dog:pet" "weather:rain" "bird:robin" "color:red" "color:red" "weather:rain"
"dollar:currency" "pen:ballpoint" "currency:dollar" "politician:senator" "politician:senator" "pen:ballpoint"
"furniture:chair" "oak:tree" "animal:carabao" "fruit:grape" "animal:carabao" "fruit:grape"
"tree:ash" "footwear:boot" "appliance:refrigerator" "vegetable:carrot" "tree:ash" "footwear:boot"
"bush:azalea" "art:abstract" "jewelry:ring" "bush:astilbe" "art:abstract" "bush:astilbe"
"bread:wheat" "animal:pig" "wheat:bread" "insect:ant" "wheat:bread" "animal:pig"
"dog:poodle" "hair:brown" "automobile:van" "pet:dog" "automobile:van" "hair:brown"
"couch:furniture" "mammal:porpoise" "rodent:mouse" "school:university" "mammal:porpoise" "couch:furniture"
"furniture:couch" "bird:swan" "bush:astilbe" "car:mustang" "car:mustang" "bush:astilbe"
"currency:dollar" "furniture:couch" "sweater:knit" "automobile:van" "automobile:van" "sweater:knit"
"dog:poodle" "furniture:chair" "animal:pig" "weather:rain" "dog:poodle" "weather:rain"
"dog:chihuahua" "bush:azalea" "politician:senator" "animal:carabao" "dog:chihuahua" "bush:azalea"
"bird:robin" "bird:swan" "mammal:porpoise" "dog:pet" "mammal:porpoise" "bird:swan"
"couch:furniture" "vegetable:carrot" "pen:ballpoint" "appliance:refrigerator" "vegetable:carrot" "pen:ballpoint"
"rodent:mouse" "song:opera" "footwear:boot" "hair:brown" "song:opera" "footwear:boot"
"oak:tree" "weapon:spear" "bread:wheat" "school:university" "oak:tree" "weapon:spear"
"clothing:shirt" "tree:oak" "jewelry:ring" "color:red" "clothing:shirt" "jewelry:ring"
"tree:ash" "fruit:grape" "art:abstract" "wheat:bread" "art:abstract" "fruit:grape"
"pet:dog" "insect:ant" "dollar:currency" "weather:rain" "insect:ant" "weather:rain"
"sweater:knit" "color:red" "footwear:boot" "insect:ant" "color:red" "sweater:knit"
"dog:pet" "furniture:couch" "bush:azalea" "dog:chihuahua" "dog:chihuahua" "bush:azalea"
"bird:robin" "politician:senator" "wheat:bread" "jewelry:ring" "wheat:bread" "jewelry:ring"
"car:mustang" "pet:dog" "mammal:porpoise" "automobile:van" "automobile:van" "pet:dog"
"fruit:grape" "clothing:shirt" "bread:wheat" "animal:carabao" "clothing:shirt" "fruit:grape"
"dollar:currency" "weapon:spear" "furniture:chair" "art:abstract" "art:abstract" "furniture:chair"
"appliance:refrigerator" "bird:swan" "dog:poodle" "rodent:mouse" "dog:poodle" "bird:swan"
"hair:brown" "school:university" "couch:furniture" "tree:ash" "tree:ash" "hair:brown"
"oak:tree" "vegetable:carrot" "tree:oak" "currency:dollar" "vegetable:carrot" "currency:dollar"
"bush:astilbe" "animal:pig" "pen:ballpoint" "song:opera" "song:opera" "bush:astilbe"
"bush:astilbe" "bread:wheat" "couch:furniture" "oak:tree" "oak:tree" "bush:astilbe"
"tree:ash" "wheat:bread" "dog:chihuahua" "clothing:shirt" "clothing:shirt" "dog:chihuahua"
"tree:oak" "dollar:currency" "dog:poodle" "bush:azalea" "dog:poodle" "bush:azalea"
"furniture:couch" "sweater:knit" "footwear:boot" "furniture:chair" "furniture:couch" "sweater:knit"
"animal:pig" "pen:ballpoint" "car:mustang" "art:abstract" "art:abstract" "pen:ballpoint"
"color:red" "jewelry:ring" "politician:senator" "bird:robin" "color:red" "jewelry:ring"
"pet:dog" "fruit:grape" "insect:ant" "rodent:mouse" "insect:ant" "fruit:grape"
"dog:pet" "hair:brown" "weapon:spear" "currency:dollar" "dog:pet" "hair:brown"
"school:university" "vegetable:carrot" "song:opera" "bird:swan" "song:opera" "bird:swan"
"animal:carabao" "appliance:refrigerator" "mammal:porpoise" "weather:rain" "mammal:porpoise" "weather:rain"
"automobile:van" "couch:furniture" "color:red" "rodent:mouse" "automobile:van" "couch:furniture"
"tree:ash" "furniture:couch" "weapon:spear" "pet:dog" "tree:ash" "pet:dog"
"appliance:refrigerator" "sweater:knit" "dog:poodle" "tree:oak" "dog:poodle" "sweater:knit"
"fruit:grape" "politician:senator" "insect:ant" "oak:tree" "insect:ant" "fruit:grape"
"art:abstract" "mammal:porpoise" "footwear:boot" "hair:brown" "art:abstract" "footwear:boot"
"automobile:van" "bird:swan" "pen:ballpoint" "animal:pig" "automobile:van" "pen:ballpoint"
"bird:robin" "bush:astilbe" "car:mustang" "dollar:currency" "bird:robin" "bush:astilbe"
"dog:pet" "clothing:shirt" "bush:azalea" "jewelry:ring" "clothing:shirt" "bush:azalea"
"currency:dollar" "weather:rain" "wheat:bread" "vegetable:carrot" "wheat:bread" "weather:rain"
"school:university" "animal:carabao" "bread:wheat" "furniture:chair" "animal:carabao" "furniture:chair"
"dog:chihuahua" "song:opera" "bird:swan" "furniture:chair" "song:opera" "furniture:chair"
"appliance:refrigerator" "bush:astilbe" "vegetable:carrot" "bread:wheat" "vegetable:carrot" "bush:astilbe"
"pen:ballpoint" "dog:chihuahua" "insect:ant" "jewelry:ring" "dog:chihuahua" "pen:ballpoint"
"automobile:van" "oak:tree" "song:opera" "footwear:boot" "automobile:van" "footwear:boot"
"dog:poodle" "weapon:spear" "school:university" "mammal:porpoise" "dog:poodle" "weapon:spear"
"tree:ash" "tree:oak" "dog:pet" "pet:dog" "tree:ash" "pet:dog"
"art:abstract" "couch:furniture" "sweater:knit" "car:mustang" "art:abstract" "sweater:knit"
"animal:pig" "animal:carabao" "color:red" "weather:rain" "color:red" "weather:rain"
"wheat:bread" "currency:dollar" "fruit:grape" "bush:azalea" "wheat:bread" "bush:azalea"
"bird:robin" "rodent:mouse" "politician:senator" "furniture:couch" "bird:robin" "furniture:couch"
"dollar:currency" "clothing:shirt" "hair:brown" "bush:azalea" "clothing:shirt" "bush:azalea"
"currency:dollar" "animal:pig" "dollar:currency" "bird:swan" "dollar:currency" "animal:pig"
"bird:robin" "dog:chihuahua" "song:opera" "school:university" "song:opera" "school:university"
"mammal:porpoise" "bush:astilbe" "tree:oak" "insect:ant" "mammal:porpoise" "bush:astilbe"
"animal:carabao" "footwear:boot" "politician:senator" "automobile:van" "automobile:van" "footwear:boot"
"fruit:grape" "furniture:couch" "appliance:refrigerator" "pet:dog" "appliance:refrigerator" "fruit:grape"
"oak:tree" "weapon:spear" "pen:ballpoint" "furniture:chair" "oak:tree" "pen:ballpoint"
"bread:wheat" "car:mustang" "couch:furniture" "rodent:mouse" "rodent:mouse" "couch:furniture"
"jewelry:ring" "tree:ash" "clothing:shirt" "art:abstract" "clothing:shirt" "jewelry:ring"
"color:red" "vegetable:carrot" "hair:brown" "weather:rain" "color:red" "weather:rain"
"wheat:bread" "sweater:knit" "dog:pet" "dog:poodle" "wheat:bread" "sweater:knit"
"bird:swan" "sweater:knit" "appliance:refrigerator" "fruit:grape" "appliance:refrigerator" "fruit:grape"
