Subcategory,Spearman's rho
Phase2Answers-10a.txt,0.967567
Phase2Answers-10b.txt,0.993429
Phase2Answers-10c.txt,0.995556
Phase2Answers-10d.txt,0.997472
Phase2Answers-10e.txt,0.994649
Phase2Answers-10f.txt,0.996106
Phase2Answers-1a.txt,0.990674
Phase2Answers-1b.txt,0.998910
Phase2Answers-1c.txt,0.996757
Phase2Answers-1d.txt,0.999811
Phase2Answers-1e.txt,0.999666
Phase2Answers-2a.txt,0.998695
Phase2Answers-2b.txt,0.990476
Phase2Answers-2c.txt,0.977038
Phase2Answers-2d.txt,1.000000
Phase2Answers-2e.txt,1.000000
Phase2Answers-2f.txt,1.000000
Phase2Answers-2g.txt,0.993274
Phase2Answers-2h.txt,0.941469
Phase2Answers-2i.txt,0.988256
Phase2Answers-2j.txt,0.991895
Phase2Answers-3a.txt,0.942256
Phase2Answers-3b.txt,0.965942
Phase2Answers-3c.txt,0.976866
Phase2Answers-3d.txt,0.999757
Phase2Answers-3e.txt,0.994781
Phase2Answers-3f.txt,0.983692
Phase2Answers-3g.txt,0.995785
Phase2Answers-3h.txt,0.999735
Phase2Answers-4a.txt,0.984854
Phase2Answers-4b.txt,0.983464
Phase2Answers-4c.txt,0.949358
Phase2Answers-4d.txt,0.994324
Phase2Answers-4e.txt,0.989225
Phase2Answers-4f.txt,0.998906
Phase2Answers-4g.txt,0.999901
Phase2Answers-4h.txt,0.999811
Phase2Answers-5a.txt,0.998460
Phase2Answers-5b.txt,0.997935
Phase2Answers-5c.txt,0.997429
Phase2Answers-5d.txt,0.986358
Phase2Answers-5e.txt,0.999812
Phase2Answers-5f.txt,0.999849
Phase2Answers-5g.txt,0.999757
Phase2Answers-5h.txt,0.999637
Phase2Answers-5i.txt,0.998165
Phase2Answers-6a.txt,0.998907
Phase2Answers-6b.txt,0.997696
Phase2Answers-6c.txt,0.997709
Phase2Answers-6d.txt,0.997825
Phase2Answers-6e.txt,0.999811
Phase2Answers-6f.txt,0.999811
Phase2Answers-6g.txt,0.999215
Phase2Answers-6h.txt,0.997321
Phase2Answers-7a.txt,1.000000
Phase2Answers-7b.txt,0.999847
Phase2Answers-7c.txt,1.000000
Phase2Answers-7d.txt,0.999965
Phase2Answers-7e.txt,1.000000
Phase2Answers-7f.txt,0.999945
Phase2Answers-7g.txt,0.999159
Phase2Answers-7h.txt,1.000000
Phase2Answers-8a.txt,0.999084
Phase2Answers-8b.txt,0.999343
Phase2Answers-8c.txt,1.000000
Phase2Answers-8d.txt,0.999782
Phase2Answers-8e.txt,0.999389
Phase2Answers-8f.txt,1.000000
Phase2Answers-8g.txt,0.998441
Phase2Answers-8h.txt,0.999698
Phase2Answers-9a.txt,0.995493
Phase2Answers-9b.txt,0.999270
Phase2Answers-9c.txt,0.994347
Phase2Answers-9d.txt,0.996960
Phase2Answers-9e.txt,0.999962
Phase2Answers-9f.txt,1.000000
Phase2Answers-9g.txt,1.000000
Phase2Answers-9h.txt,1.000000
Phase2Answers-9i.txt,0.993216
