"","category","RR","category2","BRR","category3","RRG"
"21",": capital-common-countries",0.949999492048903,": gram8-plural",0.710756422829367,": capital-common-countries",0.749528997499625
"22",": capital-world",0.944699869276147,": I01 [noun - plural_reg].txt",0.674115849348198,": E01 [country - capital].txt",0.659359718163597
"65",": family",0.933488612836439,": family",0.617626576322229,": I05 [verb_inf - 3pSg].txt",0.604052929078482
"72",": gram6-nationality-adjective",0.916780556742625,": I02 [noun - plural_irreg].txt",0.602888570035576,": gram4-superlative",0.600099389488069
"52",": E01 [country - capital].txt",0.908918354243464,": NN_NNS",0.596372089945817,": capital-world",0.583813757216043
"69",": gram3-comparative",0.895526922106779,": gram5-present-participle",0.565747498627211,": VBZ_VB",0.580125337610103
"80",": I05 [verb_inf - 3pSg].txt",0.842873596026868,": Directional  X is the opposite direction from Y",0.534867304615443,": gram3-comparative",0.578328264297929
"74",": gram8-plural",0.841239554955542,": I06 [verb_inf - Ving].txt",0.496145498107303,": VB_VBZ",0.573294636892128
"76",": I01 [noun - plural_reg].txt",0.83528029469791,": city-in-state",0.485826045431893,": gram6-nationality-adjective",0.547542941519538
"143",": VB_VBZ",0.818066302042959,": NNS_NN",0.483593411130004,": JJS_JJR",0.535944318606685
"81",": I06 [verb_inf - Ving].txt",0.782795415606536,": I09 [verb_Ving - Ved].txt",0.478261316308592,": JJR_JJS",0.495927682153383
"146",": VBZ_VB",0.780917434749863,": gram7-past-tense",0.463153456037631,": VBD_VB",0.470060628820849
"26",": city-in-state",0.773787965878848,": Coordinates  X and Y are two distinct objects in the same category",0.461937126537838,": VBD_VBZ",0.46860843523507
"71",": gram5-present-participle",0.755064755991184,": L10 [antonyms - binary].txt",0.435773165050935,": VBZ_VBD",0.4650782855739
"75",": gram9-plural-verbs",0.751805133334265,": gram9-plural-verbs",0.371176498664158,": I07 [verb_inf - Ved].txt",0.464736924427254
"73",": gram7-past-tense",0.739119991678271,": gram6-nationality-adjective",0.369237615223087,": VB_VBD",0.44295415298625
"70",": gram4-superlative",0.713424056064018,": capital-world",0.360886112060104,": JJ_JJR",0.44282229743947
"116",": NN_NNS",0.709806567251814,": E09 [things - color].txt",0.33965366735491,": JJ_JJS",0.425758630654979
"144",": VBD_VB",0.677340922481267,": I08 [verb_Ving - 3pSg].txt",0.336062970512684,": I03 [adj - comparative].txt",0.422068866424382
"84",": I09 [verb_Ving - Ved].txt",0.670375275050597,": Contradictory  Something cannot be/have/do X and Y at the same time",0.320031330571913,": I10 [verb_3pSg - Ved].txt",0.400479398472564
"77",": I02 [noun - plural_irreg].txt",0.661956458194839,": gram3-comparative",0.317198657808849,": gram9-plural-verbs",0.380628634670107
"83",": I08 [verb_Ving - 3pSg].txt",0.661463670065335,": E10 [male - female].txt",0.316666935292137,": I04 [adj - superlative].txt",0.372554028306425
"95",": JJ_JJR",0.659366915029714,": L09 [antonyms - gradable].txt",0.306404940171664,": E05 [name - occupation].txt",0.339599674212871
"100",": JJS_JJR",0.653096722087267,": gram2-opposite",0.291617538637273,": I08 [verb_Ving - 3pSg].txt",0.325400699552651
"117",": NNS_NN",0.625863232295408,": Dimensional Similarity  an X and Y are two kinds in a category of actions/things/attributes",0.283372182118017,": JJR_JJ",0.320661769839782
"145",": VBD_VBZ",0.622590697866448,": Contrary  X and Y are contrary / opposite to each other",0.279477597403516,": family",0.31586203651421
"142",": VB_VBD",0.62091579439469,": D02 [un+adj_reg].txt",0.268285818272875,": E04 [name - nationality].txt",0.312447013899031
"82",": I07 [verb_inf - Ved].txt",0.604404868239999,": E01 [country - capital].txt",0.249558636079867,": city-in-state",0.287961920446955
"147",": VBZ_VBD",0.57136993051757,": Synonymity  an X and Y are a similar type of action/thing/attribute",0.245216110312036,": I06 [verb_inf - Ving].txt",0.286649917499233
"78",": I03 [adj - comparative].txt",0.570320412538852,": VB_VBZ",0.244771665150831,": E02 [country - language].txt",0.27816768833894
"61",": E10 [male - female].txt",0.556869856924178,": I05 [verb_inf - 3pSg].txt",0.238820666948385,": gram7-past-tense",0.27596653564064
"85",": I10 [verb_3pSg - Ved].txt",0.553027905064025,": Conversion  X will become / be converted into Y",0.238741243775171,": currency",0.245826897181233
"98",": JJR_JJS",0.542705628384174,": JJ_JJR",0.216544617590245,": E10 [male - female].txt",0.240202921632041
"96",": JJ_JJS",0.520179435191601,": gram1-adjective-to-adverb",0.207782767581349,": D09 [verb+tion_irreg].txt",0.24019121717495
"79",": I04 [adj - superlative].txt",0.468427756896229,": VBD_VB",0.207280293660418,": D10 [verb+ment_irreg].txt",0.231340405504936
"97",": JJR_JJ",0.437225536305088,": D06 [re+verb_reg].txt",0.206553049118902,": JJS_JJ",0.227789654461671
"51",": Directional  X is the opposite direction from Y",0.421246643471172,": VBZ_VB",0.20079209713976,": E03 [UK_city - county].txt",0.218774648252226
"67",": gram1-adjective-to-adverb",0.40242390575168,": capital-common-countries",0.200470494549278,": gram1-adjective-to-adverb",0.194641138170331
"56",": E05 [name - occupation].txt",0.389300196371618,": L08 [synonyms - exact].txt",0.19868223402817,": D03 [adj+ly_reg].txt",0.19244998243499
"99",": JJS_JJ",0.376259529650369,": VB_VBD",0.17796164140844,": I09 [verb_Ving - Ved].txt",0.192113958742006
"34",": Coordinates  X and Y are two distinct objects in the same category",0.367545860752253,": L07 [synonyms - intensity].txt",0.1696649502924,": gram5-present-participle",0.189317257363973
"54",": E03 [UK_city - county].txt",0.365591534927962,": D03 [adj+ly_reg].txt",0.162125425812327,": I01 [noun - plural_reg].txt",0.161164445349711
"53",": E02 [country - language].txt",0.365563566216461,": VBD_VBZ",0.153982262631377,": Knowledge  X is the name for knowledge of Y",0.152101888013009
