:animal and young
cat kitten dog puppy
cat kitten pig piglet
cat kitten horse foal
cat kitten cow calf
cat kitten chicken chick
cat kitten duck duckling
cat kitten sheep lamb
cat kitten goose gosling
cat kitten deer fawn
cat kitten kangaroo joey
cat kitten goat kid
cat kitten fox kit
dog puppy cat kitten
dog puppy pig piglet
dog puppy horse foal
dog puppy cow calf
dog puppy chicken chick
dog puppy duck duckling
dog puppy sheep lamb
dog puppy goose gosling
dog puppy deer fawn
dog puppy kangaroo joey
dog puppy goat kid
dog puppy fox kit
pig piglet cat kitten
pig piglet dog puppy
pig piglet horse foal
pig piglet cow calf
pig piglet chicken chick
pig piglet duck duckling
pig piglet sheep lamb
pig piglet goose gosling
pig piglet deer fawn
pig piglet kangaroo joey
pig piglet goat kid
pig piglet fox kit
horse foal cat kitten
horse foal dog puppy
horse foal pig piglet
horse foal cow calf
horse foal chicken chick
horse foal duck duckling
horse foal sheep lamb
horse foal goose gosling
horse foal deer fawn
horse foal kangaroo joey
horse foal goat kid
horse foal fox kit
cow calf cat kitten
cow calf dog puppy
cow calf pig piglet
cow calf horse foal
cow calf chicken chick
cow calf duck duckling
cow calf sheep lamb
cow calf goose gosling
cow calf deer fawn
cow calf kangaroo joey
cow calf goat kid
cow calf fox kit
chicken chick cat kitten
chicken chick dog puppy
chicken chick pig piglet
chicken chick horse foal
chicken chick cow calf
chicken chick duck duckling
chicken chick sheep lamb
chicken chick goose gosling
chicken chick deer fawn
chicken chick kangaroo joey
chicken chick goat kid
chicken chick fox kit
duck duckling cat kitten
duck duckling dog puppy
duck duckling pig piglet
duck duckling horse foal
duck duckling cow calf
duck duckling chicken chick
duck duckling sheep lamb
duck duckling goose gosling
duck duckling deer fawn
duck duckling kangaroo joey
duck duckling goat kid
duck duckling fox kit
sheep lamb cat kitten
sheep lamb dog puppy
sheep lamb pig piglet
sheep lamb horse foal
sheep lamb cow calf
sheep lamb chicken chick
sheep lamb duck duckling
sheep lamb goose gosling
sheep lamb deer fawn
sheep lamb kangaroo joey
sheep lamb goat kid
sheep lamb fox kit
goose gosling cat kitten
goose gosling dog puppy
goose gosling pig piglet
goose gosling horse foal
goose gosling cow calf
goose gosling chicken chick
goose gosling duck duckling
goose gosling sheep lamb
goose gosling deer fawn
goose gosling kangaroo joey
goose gosling goat kid
goose gosling fox kit
deer fawn cat kitten
deer fawn dog puppy
deer fawn pig piglet
deer fawn horse foal
deer fawn cow calf
deer fawn chicken chick
deer fawn duck duckling
deer fawn sheep lamb
deer fawn goose gosling
deer fawn kangaroo joey
deer fawn goat kid
deer fawn fox kit
kangaroo joey cat kitten
kangaroo joey dog puppy
kangaroo joey pig piglet
kangaroo joey horse foal
kangaroo joey cow calf
kangaroo joey chicken chick
kangaroo joey duck duckling
kangaroo joey sheep lamb
kangaroo joey goose gosling
kangaroo joey deer fawn
kangaroo joey goat kid
kangaroo joey fox kit
goat kid cat kitten
goat kid dog puppy
goat kid pig piglet
goat kid horse foal
goat kid cow calf
goat kid chicken chick
goat kid duck duckling
goat kid sheep lamb
goat kid goose gosling
goat kid deer fawn
goat kid kangaroo joey
goat kid fox kit
fox kit cat kitten
fox kit dog puppy
fox kit pig piglet
fox kit horse foal
fox kit cow calf
fox kit chicken chick
fox kit duck duckling
fox kit sheep lamb
fox kit goose gosling
fox kit deer fawn
fox kit kangaroo joey
fox kit goat kid
:kin relations
father son mother daughter
father son aunt niece
father son uncle nephew
father son grandfather grandson
father son grandmother granddaughter
mother daughter father son
mother daughter aunt niece
mother daughter uncle nephew
mother daughter grandfather grandson
mother daughter grandmother granddaughter
aunt niece father son
aunt niece mother daughter
aunt niece uncle nephew
aunt niece grandfather grandson
aunt niece grandmother granddaughter
uncle nephew father son
uncle nephew mother daughter
uncle nephew aunt niece
uncle nephew grandfather grandson
uncle nephew grandmother granddaughter
grandfather grandson father son
grandfather grandson mother daughter
grandfather grandson aunt niece
grandfather grandson uncle nephew
grandfather grandson grandmother granddaughter
grandmother granddaughter father son
grandmother granddaughter mother daughter
grandmother granddaughter aunt niece
grandmother granddaughter uncle nephew
grandmother granddaughter grandfather grandson
:goes on
glove hand shoe foot
glove hand hat head
glove hand crown head
glove hand necklace neck
glove hand ring finger
glove hand bracelet wrist
glove hand anklet ankle
glove hand belt waist
glove hand scarf neck
shoe foot glove hand
shoe foot hat head
shoe foot crown head
shoe foot necklace neck
