analogy,cos,w3w4,w2w4,addrank,baserank,domainsimrank,mulrank,diffrank,category,freq1,freq2,freq3,freq4
bear:cub::cat:kitten,0.49550950153165574,0.6754624000989568,0.3307424303238423,2,5,262,2,176917,: animal and young,71174,5378,50326,2739
bear:cub::cow:calf,0.44758128706797956,0.6276009130868511,0.2983008128548761,5,5,554,5,375910,: animal and young,71174,5378,16036,5455
bear:cub::chicken:chick,0.3840824958299226,0.45003591929293324,0.19442348869096068,46,409,7910,40,27318,: animal and young,71174,5378,22976,6717
bear:cub::deer:fawn,0.26576002408445604,0.3926426801159821,0.3245824106396595,1159,533,292,1129,830086,: animal and young,71174,5378,29237,1981
bear:cub::dog:puppy,0.5421602532497785,0.7299511716777783,0.34134384615721935,2,2,205,2,61145,: animal and young,71174,5378,80547,3762
bear:cub::duck:duckling,0.3184957511477061,0.47139897186462243,0.2332321309211333,49,65,2899,40,813269,: animal and young,71174,5378,22351,752
bear:cub::eagle:eaglet,0.40830311387746937,0.4465164629735501,0.341065895199375,16,56,206,16,3883,: animal and young,71174,5378,46506,207
bear:cub::fish:fingerling,0.41236669677835525,0.503524640250697,0.17763600446204084,113,357,12471,107,34273,: animal and young,71174,5378,129071,54
bear:cub::fly:maggot,0.15891677790129796,0.2763198470880295,0.08106022757570713,14213,1636,175897,15037,1166606,: animal and young,71174,5378,64317,680
bear:cub::frog:tadpole,0.3876535324864078,0.5151180288969297,0.14556477576841423,111,236,30790,118,232101,: animal and young,71174,5378,22637,907
bear:cub::horse:foal,0.3927836793307095,0.45714174130924584,0.2562049831203342,51,162,1596,45,19686,: animal and young,71174,5378,127812,1994
bear:cub::insect:larva,0.4195771888728933,0.5858081715864989,0.06298808533132223,84,63,266392,83,413240,: animal and young,71174,5378,13238,4807
bear:cub::goose:gosling,0.13108261050617143,0.08799912251630734,0.09557235911050492,43647,139800,122373,43286,113109,: animal and young,71174,5378,9631,1514
bear:cub::hawk:eyas,0.2456888502303738,0.353536523858066,0.12769282832540949,1481,234,51177,1471,771998,: animal and young,71174,5378,18391,8
